metric_name,entity_name,currency,date,item_segment,category_name,value,quarter_start,quarter_end
Gross Merchandise Volume - Total,eBay,USD,2020-01-13,United States,Home & Garden,6685174.487002,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-01-05,International,Cell Phones & Telecom,5885743.671368,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-10-13,United States,Collectibles & Art,9739275.080448,2021-10-01,2021-12-31
Gross Merchandise Volume - Total,eBay,USD,2021-09-30,International,Home & Garden,22927317.266377,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-05,United States,Toys & Hobbies,5523620.553734,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-07-01,International,"Business, Office & Industrial",7876222.325247,2021-07-01,2021-09-30
Gross Merchandise Volume - Total,eBay,USD,2021-06-10,International,Home & Garden,28753326.281716,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-05-12,United States,Parts & Accessories,25411854.543300,2021-04-01,2021-06-30
Gross Merchandise Volume - Total,eBay,USD,2021-02-28,International,Musical Instruments,1847403.358131,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2021-01-22,International,Parts & Accessories,21313109.658728,2021-01-01,2021-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-15,United States,Sports,11371480.465138,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-08,United States,Computers,7777766.452232,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-05,International,Tickets & Travel,139019.719674,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-10-04,United States,Collectibles & Art,9878978.372935,2020-10-01,2020-12-31
Gross Merchandise Volume - Total,eBay,USD,2020-09-16,International,Clothing & Accessories,12715932.689501,2020-07-01,2020-09-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-30,United States,Cell Phones & Telecom,3284412.892034,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-05-11,International,Health & Beauty,6924938.142281,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-04-09,International,Toys & Hobbies,5945684.356545,2020-04-01,2020-06-30
Gross Merchandise Volume - Total,eBay,USD,2020-02-25,United States,Cell Phones & Telecom,3548490.892106,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-23,International,Cell Phones & Telecom,5215968.482153,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-21,International,Consumer Electronics,3540471.025692,2020-01-01,2020-03-31
Gross Merchandise Volume - Total,eBay,USD,2020-02-08,International,Tickets & Travel,215813.207457,2020-01-01,2020-03-31
